agent,difficulty,seed,outcome,score,decisions,elapsed_seconds,pellets_left,ghosts_eaten,repeat_visits,immediate_backtracks,performance
utility_based,normal,29,win,1490,113,15.255,0,3,37,1,3465.4
learning,normal,29,caught,1470,156,21.06,2,3,85,11,416.8
greedy,normal,29,win,890,91,12.285,0,0,18,8,2855.8
random,normal,29,caught,230,85,11.475,54,0,66,32,-851.0
table_driven,normal,30,caught,70,14,1.89,66,0,7,1,-934.8
simple_reflex,normal,30,timeout,660,1500,202.5,23,0,1450,289,-218.0
model_based,normal,30,win,890,161,21.735,0,0,85,2,2853.8
goal_based,normal,30,win,1490,107,14.445,0,3,34,9,3450.6
utility_based,normal,30,win,1490,113,15.255,0,3,37,1,3465.4
learning,normal,30,win,1290,113,15.255,0,2,40,7,3253.4
greedy,normal,30,win,890,91,12.285,0,0,18,8,2855.8
random,normal,30,caught,140,25,3.375,59,0,11,7,-879.0
